aan,on 8
aanbieden,to offer 14
de aanbieding,offer 14
aandoen,to put on 14
aangifte doen,to report (a crime) 18
aanhebben,to have on 13
aankomen,to arrive 12
aantrekkelijk,attractive 14
de aardappel,potato 5
het abonnement,subscription 14
het accent,accent 11
de accountant,accountant 11
achter,behind 8
de achternaam,surname 1
het adres,address 1
afbreken,to break 10
afgaan,to go down 12
afgelopen,"past 9, last few 9"
afrekenen,to pay / settle the bill 3
afscheid nemen,to say goodbye 1
afsnijden,to cut off 13
de afspraak,date / appointment 4
afspreken,to set a date / make an appointment 4
de agenda,diary 4
ah,ah 13
al,already 1
al lang,for a long time 2
allebei,both 7
alleen,only 6
allemaal,everyone 1
allergisch,allergic 9
allerlei,all kinds of 7
alles,everything 3
als,"as 6, if 18"
alsjeblieft,please 5
alstublieft,please 3
altijd,always 5
alvast,in the meantime 6
ander(e),"other 1, 2"
anders,"otherwise 9, different"
anders nog iets,anything else 5
de andijvie,endive 5
het antwoord,answer 1
de apotheek,pharmacy 9
het appartement,apartment 8
de arm,arm 9
de auto,car 13
de automaat,vending machine 14
de avond,evening 6
het avondeten,"dinner, evening meal 17"
de baan,job 11
de baas,boss 11
het bad,bath 8
de badkamer,bathroom 8
de bagagedrager,carrier 10
het bakje,punnet 5
de balie,"information desk, counter 12"
het balkon,balcony 8
de band,tyre 10
bang,afraid 14
de bank,"sofa / couch 8, bank 17"
de bankpas,bank card 18
de bankrekening,bank account 18
het bed,bed 8
bedanken,to thank 3
bedankt,thanks 3
bedoelen,to mean 10
het bedrag,amount 14
het bedrijf,company 11
het been,leg 9
beetje,a bit 6
het begin,beginning 16
beginnen,to begin / start 1
begrijpen,to understand 11
begroeten,to greet 1
behalve,"except, besides 17"
beide,both 14
bekend,known 12
bekijken,to look at 9
belachelijk,ridiculous 13
belangrijk,important 4
bellen,to phone 8
beneden,downstairs 12
de benedenwoning,ground-floor flat 8
beoordelen,to judge 6
bepaald,certain 8
de berg,mountain 15
beschrijven,to describe 2
beslissen,to decide 7
best,best 7
het bestek,cutlery 6
bestellen,to order 3
betalen,to pay 3
betekenen,to mean 10
beter,better 7
beterschap,get well soon 9
de beurt,turn 5
bevallen,"to like, to enjoy 11"
bezig,"has started 16, busy"
het bezoek,visit / visitors 2
bezoeken,to visit 13
de bibliotheek,library 17
de biefstuk,steak 6
het bier(tje),beer 3
bij,"next to 8, near"
het bijbaantje,"job on the side, part-time job 11"
bijna,almost 16
bijzonder,special 9
binnen,within 7
binnenkomen,to come in 13
de bioscoop,cinema 11
de bladzijde,page 1
blauw,blue 7
blijven,to stay / remain 4
de bloem,flower 13
de bloemkool,cauliflower 5
blokkeren,to block 18
blond,blond 2
het boek,book 1
de bon,receipt 7
de bonbon,chocolate 13
boodschappen doen,to go shopping 5
de boon (het boontje),bean 5
het bord(je),sign 12
de bos,bunch 13
het bosje,bunch 5
boven,upstairs 12
de bovenwoning,upstairs flat 8
brengen,"to take 13, to bring"
de brief,letter 14
de bril,glasses 2
de broek,trousers 7
de broer,brother 2
het broodje,bread roll 15
de buik,stomach 9
het buikspierkwartier,abs workout 14
buiten,outside 15
het buitenland,abroad 11
de buitenlander,foreigner 5
het bultje,lump 9
het bureau,desk 8
de buren,neighbours 4
de bus,bus 12
de buschauffeur,bus driver 12
de buurman,neighbour (m) 1
de buurt,neighbourhood 8
de buurvrouw,neighbour (f) 11
het cadeau,present / gift 11
het café,cafe / pub 3
de caissière,box office assistant 16
de camera,camera 4
de cappuccino,cappuccino 6
de cent,cent 5
het centrum,city centre 8
de champignon,mushroom 5
de chauffeur,driver 12
Chili,Chile 11
China,China 1
Chinees,Chinese 1
Chinese,Chinese 1
de chocola,chocolate 6
de cola,cola 3
de collega,colleague 14
het college,"lecture, class 17"
Colombia,Columbia 15
de computer,computer 8
de conditie,"physical condition, fitness 14"
contact opnemen,to contact 18
controleren,to check 10
de courgette,courgette 5
Cubaans,Cuban 11
de cursus,course 1
daag,bye 1
daar,there 2
daarna,after that 9
daarom,that’s why 3
de dader,culprit 18
dag,"hello 1, bye 1"
de dag,day 1
de dagschotel,today’s special 6
dan,"then 4, than 7"
dank je / u wel,"thank you 3, 6"
dat,"that 2, 11"
de datum,date 4
de,the 2
het deel,"part, episode 17"
denken,to think 9
de deur,door 11
deze,this / these 2
dicht bij,close to 8
die,that 7
het dier,animal 13
het ding,thing 10
direct,"right now 4, straightaway 12"
dit,this 3
de docent,teacher / lecturer 1
de documentaire,documentary 16
doeg,bye 1
doei,bye 1
het doel,"goal, target 14"
doen,"to do 2, to work 10"
de dokter,doctor 9
donker,dark 2
de dood,death 13
de doos,box 13
de dorst,thirst 6
de douche,shower 8
douchen,to shower 17
draaien,to be showing 16
dragen,to carry 15
het drankje,drink 14
drinken,to drink 3
dromen,to dream 17
druk,busy 11
duidelijk,clear 10
Duits,German 11
duren,to take / to last 15
dus,so / therefore 2
duur,expensive 5
echt,real 15
een,a(n) 2
eens,(usually untranslated) 2
eenvoudig,simple 8
eerder,earlier 16
eergisteren,day before yesterday 2
eerlijk,honest 18
eerst(e),"first 3, 11"
eet smakelijk,bon appetit 6
eh,um 6
eigen,own 11
eigenlijk,actually / really 2
het eiland,island 17
het eind(e),"end 10, 12"
elk,each 14
elkaar,each other 3
de emmer,bucket 9
en,and 1
de energie,energy 14
het energiedrankje,energy drink 14
Engeland,England 1
Engels,English 1
Engelse,English 1
Engelsman,English 1
er,there 5
erbij,with it 5
erg,very 6
ergens,somewhere 7
eruit zien,to look like 18
ervandoor moeten,to have to go 4
eten,to eat 4
de euro,euro 5
even,for a moment 1
eventueel,if necessary 7
de familie,family 2
fantastisch,fantastic 4
het feest,party / celebration 10
de feestdag,public holiday 10
feliciteren met,to congratulate on 11
het festival,festival
de fiets,bicycle 10
fietsen,to cycle 10
de fietsenmaker,cycle repairman 10
fijn,nice / good 4
de file,tailback / traffic jam 13
de film,film 4
de filosofie,philosophy 17
de filosofiegeschiedenis,history of philosophy 17
fit,healthy 14
de fooi,tip 6
het formulier,form 8
de foto,photo 2
foto’s maken,to take photos 4
Frans,French 3
frietje,chip 6
het fruit,fruit 5
gaan,"to go 4, 15"
gaan zitten,to sit down 6
de gang,"passage(way) 8, course 6"
de garage,garage 8
gauw,quickly 4
gebeuren,to happen 10
het gebied,area 15
gebruiken,to use 8
geel,yellow 5
geen,no 6
gefeliciteerd,"congratulations 3, happy birthday 11"
het gegeven (gegevens),"information, fact (data) 17"
de gehaktbal(letje),meatball 17
gek zijn op,to be crazy about 11
het geld,money 18
geldig,valid 14
geleden,ago 4
geloven,to believe 13
geluk hebben,to be lucky 12
gelukkig,"fortunately 13, happy"
(ge)makkelijk,easy 12
gemeubileerd,furnished 8
genoeg,enough 5
het gerecht,dish 5
de geschiedenis,history 17
geschikt,suitable 8
gesloten,closed 10
het gewicht,weight 14
in ieder geval,at any rate 18
geven,to give 3
geweldig,fantastic 15
gewend,used to 15
gewoon,"just 11, ordinary 17"
gezellig,pleasant / sociable 13
het gezicht,face 9
het gezin,family 2
gezond,healthy 13
de gezondheid,health 13
gisteravond,last night 9
gisteren,yesterday 2
glad,slippery 10
het glas,glass 3
goed,"good 3, fine 4, okay 4"
goede reis,have a good trip 15
goedemiddag,good afternoon 1
goedemorgen,good morning 1
goedenavond,good evening 1
goedendag,good day 1
goedkoop,cheap 5
goh,oh 2
graag,please 3
even graag als,as much as 7
graag willen,would like 3
het grapje,joke 15
gratis,free 14
groen,green 7
de groente,vegetable 5
de groenteboer,greengrocer 5
de groep,group 14
de groepsles,group lesson 14
de groeten,greetings 13
de groeten doen aan,to give someone’s regards to 4
groot,large 7
het haar,hair 2
haar,"her 2, 7"
de hal,hall 12
halen,"to fetch 6, take 18"
half,half 5
hallo,hello 1
handig,handy 18
hartstikke,very / completely 4
hé,hey 4
hè,isn’t it / eh 13
hebben,to have 1
heel,very 2
heerlijk,"delicious 5, exquisite 6, wonderful 17"
helaas,unfortunately 15
helemaal,"completely 10, at all 17"
helpen,to help 7
hem,"him, it 7"
hen,them 7
de herfst,autumn 2
herhalen,to repeat 10
"herinneren, zich",to remember 11
herkennen,to recognize 12
het,"the, it 1"
het gaat wel,"all right 4, it’s okay 6"
het is druk,it’s busy 14
het spijt me,I’m sorry 7
heten,to be called 1
hetzelfde,the same 3
hier,here 1
hij,he 1
de hitte,heat 16
de hobby,hobby 11
hoe,how (what) 1
de hoek,corner 12
hoera,hooray 11
hoeveel,how much / how many 5
hoeven,to need 8
hoewel,although 18
hoezo,how come 18
hoi,hi / hello 1
de hond,dog 13
de honger,hunger 6
het hoofdgerecht,main course 6
de hoofdpijn,headache 9
hoor,(for emphasis) 1
hopen,to hope 11
horen,to hear 11
houden van,"to like 6, fond of / love 13"
de huid,skin 9
het huis,house 8
de huisarts,doctor / gp 9
hun,"their 2, them 7"
huren,to rent 8
te huur,to let 8
de huurprijs,rent 8
de hypotheek,mortgage 17
het idee,idea 3
de identiteitskaart,ID card 18
ieder,each / every 11
iedereen,everyone 1
iemand,someone 13
iets,something 4
het ijs,icecream 6
ik,I 1
in,in 1
inderdaad,indeed 10
Indonesië,Indonesia 2
de informatie,information 11
de informatietechnologie,information technology 17
ingaan,to become effective 14
de ingang,entrance 12
"inschrijven, zich","to enrol, to register 14"
instappen,to get in 12
interessant,interesting 11
"interesseren, zich",to be interested 11
het internet,internet 14
ja,yes 1
ja hoor,yes / yes of course 2
het jaar,year 1
jarig zijn,to have a birthday 2
de jas,coat 7
jawel,oh yes 13
je,"you / your 1, 2, 7, yourself, yourselves 11"
de jeuk,itch 9
jeuken,to itch 9
jij,you (sing) 1
jong,young 2
de jongen,boy 7
jongen,litter 13
jou,"you 4, 7"
jouw,your (sing) 1
juist,precisely 17
jullie,"you (pl) 1, your (pl) 1, 4, 7, 11"
het kaartje,ticket 11
de kaas,cheese 15
de kamer,room / living room 8
de kans,chance 18
de kantine,canteen 2
het kantoor,office 11
kapot,"open 9, broken 10"
de kast,cupboard 8
de kat,cat 13
de keel,throat 9
"een keer, de keer","once 3, time 11"
kennen,to know 3
kennismaken,to get to know 1
de kerk,church 13
de keuken,kitchen 8
kiezen,to choose 6
kijken,to look 2
kijken naar,to look at 4
de kilo,kilo 5
de kilometer,kilometre 13
de kip,chicken 6
klaar,ready 10
klaarmaken,"to prepare, get ready 14"
de klacht,complaint 9
de klant,client 9
de kleding,clothes 7
de kledingzaak,clothes shop 7
klein,"short 2, small 5"
de kleren,clothes 14
de kleur,colour 7
klinken,to sound 14
de klok,time / clock 2
dat klopt,that’s right 11
de knoflook,garlic 5
de koffer,suitcase 15
de koffie,coffee 2
koken,to cook 17
komen,to come 1
de komkommer,cucumber 5
Koningsdag,King’s Day 10
de kop / het kopje,cup 2
de koorts,fever 9
kopen,to buy 7
kort,short 2
de korting,discount 14
kosten,to cost 5
koud,cold 13
krabben,to scratch 9
de kracht,"strength, power 14"
de krachttraining,weight training 14
krijgen,to get / receive 2
kunnen,"can 4, to be able to"
het kwartier,quarter of an hour 2
kwijt zijn,to lose 17
laag,low 7
laat,late 2
laatst,last 13
lachen,to laugh 13
laden,to charge 14
het land,country 1
het landschap,landscape 15
lang,"tall, long 2"
langzaam,slow 10
last hebben van,to be bothered by / suffer from 9
laten,"to leave 6, allow"
laten zien,to show 11
het leer,leather 18
leggen,to place 18
lekker,"nice / delicious 2, well 13, nicely 15"
de lente,spring 2
de lepel,spoon 6
leren,to learn 10
de les,lesson 1
lesgeven,to teach 1
leuk,nice 2
leven,to live 11
het leven,life 14
lezen,to read 1
licht,light 7
het lid,member 14
de liefde,love 14
liefst,preferably 7
liever,rather / sooner 7
de lieverd,sweetheart 17
liggen,to lie 7
lijken,to seem / appear 10
lijken op,to look like 9
de lijn,line / number 12
linkerhand,left-hand side 12
linksaf,to the left 12
logeren,to stay 15
logisch,logical 10
de logopedie,speech therapy 11
lopen,to walk 12
de lucht,sky 15
luisteren,listen 1
lukken,to work / succeed 4
lunchen,to have lunch 17
lusten,to fancy 17
de maand,month 2
maar,"just 1, but 2"
maar even,just 7
de maat,size 7
de mail,mail 14
de makelaar,real estate agent 8
maken,"to make 4, to do"
(ge)makkelijk,easy 12
de man,man 14
de manier,"way, manner 14. op die manier"
mankeren,to be wrong 10
de markt,market 5
maximaal,maximum 8
me,"me 7, 11"
meedoen,to join in 14
meegeven,to give 9
meekijken,to watch 14
meekomen,to come 13
meenemen,"to take 12, to bring 13"
meer,more 2
meest,most 7
meestal,usually 13
het meisje,girl 7
(de) meneer,"Mr 9, man"
de mening,opinion 13
mensen (de mens),people (person) 14
de menukaart,menu 6
het merk,brand 7
het mes,knife 6
met,with 1
meteen,straightaway 14
de meter,metre 8
(de) mevrouw,"Ms / Mrs 1, woman / lady"
mezelf,myself 8
de middag,afternoon 9
mij,"me 6, 7"
mijn,my 1
minder,less 7
het mineraalwater,mineral water 6
minst,least 7
de minuut,minute 2
misschien,perhaps 6
missen,"to go wrong / fail 13, to miss 16"
het model,style 7
moe,tired 15
moeilijk,difficult 6
moeten,"must / should 2, to have to 13"
mogelijk,possible 8
zo snel mogelijk,as soon as possible 8
de mogelijkheid,possibility / option 8
mogen,may / to be allowed to 3
de molen,windmill 15
"moment, op dit",at the moment 2
momentje,one moment 6
mooi,"nice 5, great 17"
morgen,tomorrow 2
de morgen,morning 2
de mosselen,mussels 6
de mosterd,mustard 6
de mosterdsoep,mustard soup 6
het muntgeld,cash 14
de muziek,music 11
na,after 4
de naam,name 1
naar,"to 1, 2"
naast,"next to 8, besides 11"
de nacht,night 9
nadat,after 18
het nagerecht,dessert 6
het najaar,autumn 2
namelijk,it so happens 18
nat,wet 13
de nationaliteit,nationality 1
de natuur,nature 15
de natuurdocumentaire,nature documentary 16
het natuurgebied,nature reserve 15
natuurlijk,of course 5
Nederland,the Netherlands 1
Nederlander,Dutch 1
Nederlands,Dutch 1
Nederlandse,Dutch 1
nee,no 1
negatief,negative 4
nemen,to take 3
nergens,nowhere 18
net,"just 12, like 15"
net als,just like 15
niemand,nobody 17
niet,not 2
niet echt,not really 11
niets,nothing 8
nieuw,new 8
het nieuws,news 14
de nieuwsbrief,newsletter 14
nodig hebben,to need 5
nog,"as well 2, any"
nog maar,another 3
nog meer,any more 2
nog geen,not yet 11
nogal,"quite, rather 14"
nooit,never 11
normaal,usually 7
nou,"well 3, now"
nu,now 1
het nummer,number 1
o ja,oh yes 9
de ober,waiter 3
de ochtend,morning 9
oei,uh / oh 18
of,or 2
o nee,oh no 6
om,"(in order) to 7, around 8"
omdat,because 18
omgaan,to turn 12
onbeperkt,unlimited 14
onder,under 8
ondertitelen,to subtitle 16
de ondertitel,subtitle 16
onderweg,on the way 15
het ongeluk,accident 13
ongeveer,about 5
onhandig,awkward 18
onmiddellijk,immediately / at once 18
ons,"our 2, us 6, 7, ourselves 11"
het ontbijt,breakfast 17
onthouden,to remember 11
ontzettend,"really, very 17"
onze,our 2
ook,also 1
op,on 1
open,open 8
het openbaar vervoer,public transport 15
opendoen,to open 11
opgaan,to go up 12
ophalen,"to collect 10, to get 18"
opletten,to pay attention 15
opnemen,to film 16
opschrijven,to write down 11
opstaan,to get up 17
opzeggen,to cancel 14
in orde maken,to fix 10
oud,old 8
de ouders,parents 2
over,about 2
overal,everywhere 18
overdag,during the day 9
overleggen,to discuss 8
overmorgen,day after tomorrow 2
oversteken,to cross 12
paar,few 4
de paella,paella 6
het pak,"suit, packet 15"
het papier,paper 11
de paprika,"bell pepper, sweet pepper 5"
het park,park 8
pas,only 2
het pasje,card 14
de paskamer,changing room 7
passen,to try on 7
de pasta,pasta 17
de pauze,break 1
de pen,pen 11
de persoon,person 5
de peterselie,parsley 5
de pijn,pain 9
pijn doen,to hurt 9
pinnen,to pay by debit card 7
pittig,spicy 17
de plaats,seat / place 2
het plan,"plan 4, intention 14"
van plan zijn,to intend 14
de plattegrond,map 12
het plezier,fun 14
veel plezier,have fun 14
de politie,"police station 18, police"
de politieagent,police officer 18
de pony,pony 15
het poosje,short while 3
de portemonnee,wallet / purse 18
de portier,porter 12
positief,positive 4
de postcode,postal code 1
prachtig,fine / splendid 4
de praktijk,practice 10
praten,to speak 11
praten over koetjes en kalfjes,to talk about this and that 13
prettig,"nice 3, 5"
de prijs,price 5
prima,wonderful 4
proberen,"to try on 7, to try 9"
het probleem,problem 4
het procent,per cent 14
proeven,to try 6
het programma,program 17
proost,cheers 3
het publiek,audience 17
het raam,window 6
de rang,class 16
de reactie,reaction 9
reageren,to respond 4
het recept,prescription 9
rechtdoor,straight ahead 12
rechterhand,right-hand side 12
rechts,on the right 12
rechts afslaan,to turn right 10
regelmatig,regularly 14
regenen,to rain 10
de reis,trip 11
reizen,to travel 15
de rekening,"bill 3, account 18"
de rem,brake 10
reserveren,to book 16
de rest,rest 6
het restaurant,restaurant 6
de richting,direction 12
de rij,queue 14
in de rij staan,to queue (up) 14
het rijbewijs,driver’s licence 18
rijden,to ride 10
rijp,ripe 9
de rijst,rice 6
de rits,zip18
roepen,to call 3
romantisch,romantic 4
het rondje,round 3
rood,red 3
het rooster,schedule 14
roze,pink 7
de rug,back 9
achter de rug hebben,to have behind one 15
ruilen,to exchange 7
ruim,spacious 8
rustig,quiet 17
de salade,salad 6
samen,together 3
het saldo,balance 14
samenwonen,to live together 8
de saus,sauce 17
de schat,darling 17
scheef,crooked 10
schijnen,seem 13
het schilderij,painting 15
de school,school 14
schrijven,to write 4
schuin,at an angle 13
de schuur,shed 13
het seizoen,season 2
de serie,series 17
de serveerster,waitress 6
de shetlandpony,Shetland pony 15
sinds,since 4
sinds kort,recently 11
de slaapkamer,bedroom 8
de slager,butcher 5
de slagroom,whipped cream 6
slapen,to sleep 9
slecht,bad 4
slim,clever 18
sluiten,to close 10
snel,"fast 11, quick"
snijden,to cut 13
de soep,soup 6
soms,sometimes 7
het soort,type / kind 6
sorry,sorry 5
Spaans,Spanish 3
spaghetti carbonara,spaghetti carbonara 4
speciaal,special 14
het spekje,bacon 5
spelen,to play 9
spellen,to spell 1
de spier,muscle 14
de spierpijn,muscular pain 14
de spijkerbroek,jeans 7
het spoor,platform 15
de sport,sport 11
sporten,play sports 14
de sportkleren,sports clothes 14
de sportschool,sports club 14
spreken,to speak 1
staan,"to suit 7, to stand 10"
de stad,city / town 8
de stamppot,mashed potato and vegetables 5
het station,station 12
steeds,always 18
stelen,to steal 18
sterkte,"good luck 9, get well soon 9"
de stoel,chair 8
stoppen,to stop 1
de storing,fault 17
de straat,street 4
strak,tight 7
straks,soon / later 1
de student,student 11
het studentenhuis,student house 17
studeren,to study 11
de studie,study 11
het stuk,short distance 12
het stuk(je),piece 15
sturen,to send 14
het stuur,handle bars 10
het systeem,system 17
de taal,language 1
de taart,cake 11
de tafel,table 6
de tante,aunt 2
de tas,bag 14
te,"to 6, too 12"
de technologie,technology 17
tegelijk,at the same time 17
tegen,against 8
tegenkomen,to meet 4
tegenover,opposite 8
de tekst,text 1
het tentamen,examination 17
het terras,terrace 18
terugkomen,"to come back, return 17"
terwijl,while 18
de thee,tea 17
thuis,at home 4
de tijd,time 11
tijdens,during 17
tiptop,tiptop 10
toch,after all 6
toe zijn aan,to need 13
toen,when 18
het toetje,dessert 6
het toilet,toilet 12
de tomaat,tomato 5
de tomatensaus,tomato sauce 17
tot,"until 4, as far as 12"
tot dan,until then 4
tot morgen,see you tomorrow 1
tot straks,see you later 1
tot ziens,"goodbye, so long 1"
tot zo,see you soon 1
total loss,a write-off 10
de training,training 14
trakteren,to treat 3
de tram,tram 12
de trap,stairs 12
de trapper,pedal 10
de trein,train 15
tropisch,tropical 17
trouwen,to marry 14
het T-shirt,T-shirt 7
de tuin,garden 8
tussen,between 8
het type,type 2
typisch,typical 5
u,"you 1, 7, yourself 11"
uit,from 1
uitdoen,to take off 13
de uitdrukking,expression 10
uitgerust zijn,to feel well rested 17
uitlopen,to walk down 12
uitnodigen,to invite 17
uitstekend,excellent 4
het uur,hour 2
uw,your 2
vaak,often 5
de vaas,vase 13
de vader,father 2
de vakantie,holiday 2
op vakantie,on holiday 2
vallen,to fall 10
van,of 1
van alles,everything 9
van harte gefeliciteerd,happy birthday / congratulations 11
vanaf,from 12
vanavond,this evening 9
vandaag,today 2
vanmiddag,this evening 9
vanmorgen,this morning 9
vannacht,tonight 9
vanzelf,as a matter of course 12
vast,regular 17
veel,"many 4, much 5"
vegetarisch,vegetarian 6
veilig,safe 15
Venetië,Venice 4
ver,far 8
veranderen,to change 14
verbeteren,to improve 14
verder,otherwise 18
verder nog (iets),anything else 5
verdergaan,to go on / continue 1
verderkomen,to come in 13
de verdieping,floor / storey 8
het verdriet,grief 13
vergeten,to forget 9
"vergissen, zich",to be wrong 11
het verhaal,story 16
verhuren,to let out 8
de verjaardag,birthday 3
op je verjaardag,happy birthday 3
het verkeer,traffic 13
verkeerd,wrong 16
verkopen,to sell 14
de verkoopster,saleswoman 7
verkouden zijn,to have a cold 13
verliezen,to lose 14
verontschuldigen,to apologize 13
vers,fresh 5
het verschil,difference 14
verschillende,different 7
verschrikkelijk,terrible 9
verstaan,"to hear 10, to understand"
versterken,to strengthen 14
vertellen,to tell 2
vertrekken,to leave 15
"vervelen, zich",to be bored 11
vervelend,annoying 18
de verwarming,heating 13
vet,greasy / rich 6
via,by way of 18
vieren,to celebrate 3
vierkant,square 8
de vierkante meter,square metre 8
vies,awful 6
vinden,"to think 4, to find"
virtueel,virtual 14
de vis,fish 13
het vlees,meat 6
het vliegtuig,aeroplane 15
"voelen, zich",to feel 9
de voetbalvereniging,football club 9
de vogel,bird 17
vol,full 9
volgen,to follow 12
volgende,next 4
volgens,according to 13
volgens mij,in my opinion 13
voor,"for 2, before 2, in front of 8"
"voorbereiden op, zich","to get ready 11, to prepare for"
de voorbijganger,passer-by 12
het voordeel,advantage 8
het voorgerecht,starter 6
het voorjaar,spring 2
de voornaam,first name 1
"voorstellen, zich",to introduce oneself 1
de voorstelling,show / session 16
vorig,last 9
de vork,fork 6
vragen,to ask 4
vreemd,strange 17
de vriend,"(boy)friend 4, 8"
de vriendin,(girl)friend 6
vrij,free 2
vroeg,early 13
vroeger,in the old days 15
de vrucht,fruit 6
waar,where 1
waar,true 8
waar … vandaan,where from 1
waarnaartoe,where to 5
waarom,why 2
waarschijnlijk,probably 14
wakker,awake 17
wakker maken,to wake (someone up) 15
de Wandelbeurs,Walking Fair 11
wandelen,to walk / hike 11
de wandelreis,walking tour 11
wanneer,when 2
want,because 8
warm,warm 13
wassen,to wash 17
wat,"what 1, a bit, a little 8"
wat gezellig,how nice 11
wat interessant,how interesting 11
wat jammer,what a pity 11
wat lekker,how delicious 11
wat leuk,how nice 2
wat stom,how stupid 16
wat toevallig,what a coincidence 11
wat vervelend,how annoying 11
wat voor,what kind of 7
wauw,wow 4
de wc,toilet 8
we,we 1
het wedstrijdje,match 9
de week,week 4
het weekend,weekend 5
(het) weer,"again 2, weather 13"
de weg,road 13
de weg weten,to know the way 11
wegfietsen,to cycle away 10
wegglijden,to slip 10
de wei,field 15
weinig,few 7
de wekker,alarm clock 17
wel,"certainly 2, quite 5"
welk(e),"which 1, 2"
welkom,welcome 1
welterusten,sleep well 15
wensen,to wish 4
het werk,work 2
werken,to work 9
het westen,west 8
weten,to know 2
wie,who 1
het wiel,wheel 10
wij,we 1
wijd,wide 7
de wijn,wine 3
willen,to want 2
(graag) willen,to would like 3
de winkel,shop 4
de winter,winter 2
wit,white 7
wonen,to live 1
de woning,house 8
de woonkamer,living room 8
de woonruimte,accommodation / somewhere to live 8
worden,to become 11
de zaak,shop / store 7
de zaal,"room, hall 17"
het zadel,seat 10
de zalf,ointment 9
ze,"she / they 1, 7"
zeer doen,to hurt / be painful 9
zeggen,"to call 1, to say 1"
zeker,"certainly 12, sure, certain 14"
zelf,oneself 10
zetten,to put / place 13
zich,oneself 11
ziek,sick 9
zien,to see 8
zij,she / they 1
zijn,"to be 1, his 2"
zin hebben om,to feel like 4
zitten,"to sit 2, to fit 7"
zo,"okay / right 2, so 7"
niet zo,not so 4
zo meteen,very soon 15
zoals,as 9
zodat,so that 18
zodra,as soon as 18
zoeken,to look 7
de zomer,summer 2
de zomerhitte,summer heat 16
zo’n,such a 10
zonder,without 6
zonnig,sunny 8
de zoon,son 2
Zuid-Afrikaans,South African 3
zulk,such 18
zullen,"will / shall 3, 4"
de zus,sister 2
zwart,black 7
zwemmen,to swim 11
het gezin,family 2
de ouders,parents 2
de vader,father 2
de moeder,mother 2
de man / echtgenoot,husband 2
de vrouw / echtgenote,wife 2
het kind – de kinderen,child/children 2
de zoon,son 2
de dochter,daughter 2
de broer,brother 2
de zus,sister 2
de familie,family 2
de schoonzus,sister in law 2
de zwager,brother in law 2
de opa,grandfather 2
de oma,grandmother 2
het kleinkind,grandchild 2
de oom,uncle 2
de tante,aunt 2
de neef,nephew / cousin 2
de nicht,niece / cousin 2
maandag,Monday 2
dinsdag,Tuesday 2
woensdag,Wednesday 2
donderdag,Thursday 2
vrijdag,Friday 2
zaterdag,Saturday 2
zondag,Sunday 2
januari,January 2
februari,February 2
maart,March 2
april,April 2
mei,May 2
juni,June 2
juli,July 2
augustus,August 2
september,September 2
oktober,October 2
november,November 2
december,December 2
groente,vegetables 5
de courgette,courgette 5
de aubergine,eggplant 5
de paprika,bell pepper/sweet pepper 5
de tomaat,tomato 5
de andijvie,endive 5
de aardappel,potato 5
de bloemkool,cauliflower 5
de champignon,mushroom 5
de peterselie,parsley 5
het boontje,bean 5
de knoflook,garlic 5
de komkommer,cucumber 5
de sla,lettuce 5
de broccoli,broccoli 5
de kool,cabbage 5
de witte kool,white cabbage 5
de rode kool,red cabbage 5
de boerenkool,curly kale 5
de zuurkool,sauerkraut 5
de ui,onion 5
de wortel,carrot 5
fruit,fruit 5
de appel,apple 5
de peer,pear 5
de sinaasappel,orange 5
de mandarijn,mandarin 5
de kiwi,kiwifruit 5
de banaan,banana 5
de aardbei,strawberry 5
de druif,grape 5
de perzik,peach 5
de pruim,plum 5
de kers,cherry 5